actuals,predictions
66.08386651445556,33.3522323250558
64.08386651445556,33.385242131737726
67.08386651445556,33.4029688119231
59.08386651445558,34.039580852099625
61.08386651445558,34.01990385705738
58.08386651445557,33.93408272606092
56.08386651445558,34.32506667945038
55.08386651445557,34.197661471978364
54.08386651445558,34.57329761181135
51.08386651445558,33.836224950388115
53.08386651445558,33.69517400762401
59.08386651445558,33.60305478275519
62.08386651445557,37.75763619071583
55.08386651445557,40.304708581550244
43.08386651445557,40.59537988534259
42.08386651445557,39.37643309979972
40.08386651445557,45.74234812014969
40.08386651445557,41.447709524383114
42.08386651445557,39.90544872743108
45.08386651445557,39.226326777233766
42.08386651445557,41.17257605238579
47.08386651445557,39.560982047425036
46.08386651445557,44.52881564152291
47.08386651445557,47.6159699987661
52.083866514455565,49.244457029427394
51.08386651445558,51.456912962306504
50.08386651445557,52.99926917267193
59.08386651445558,51.62809756335042
53.08386651445558,57.59476728416971
45.08386651445557,51.43262297130305
50.08386651445557,48.11915446619119
51.08386651445558,44.149175372680304
52.083866514455565,42.119232362215236
52.083866514455565,39.82316193567151
92.0838665144556,38.647363844866234
82.08386651445558,61.48033785035535
92.0838665144556,81.52076743575506
93.08386651445556,99.37844538619518
83.08386651445556,116.15778357890781
82.08386651445558,123.0214558223548
53.08386651445558,142.02059516360148
38.08386651445557,121.4784365696251
41.08386651445557,55.288715644278895
44.08386651445557,37.015481552146895
43.08386651445557,37.66959063344605
45.08386651445557,36.01074758273643
47.08386651445557,35.8515114902497
40.08386651445557,37.30169834327485
43.08386651445557,36.147970668729215
45.08386651445557,33.005335028772905
49.08386651445558,32.75867599196822
42.08386651445557,34.87598938851505
46.08386651445557,34.46475757677947
49.08386651445558,35.109377874975245
48.08386651445558,37.60612292459641
42.08386651445557,40.05189537958154
45.08386651445557,42.61534653399005
47.08386651445557,43.584294004671136
49.08386651445558,41.46128410390928
49.08386651445558,39.74595792964588
47.08386651445557,38.56797422480325
45.08386651445557,38.005821033546596
45.08386651445557,37.81024455937984
55.08386651445557,41.0046662337508
57.08386651445557,41.43432253733074
55.08386651445557,42.286965908611926
50.08386651445557,41.75033337967389
50.08386651445557,41.508046379532175
48.08386651445558,40.96443249965127
48.08386651445558,38.98963359059943
50.08386651445557,37.35676886315742
48.08386651445558,36.39341520598373
48.08386651445558,35.0472419109719
52.083866514455565,35.238733397304124
50.08386651445557,35.336945334630045
47.08386651445557,35.35190987735644
52.083866514455565,35.639464882036684
49.08386651445558,35.428604472785125
54.08386651445558,34.14364939411389
48.08386651445558,34.23140871114349
74.08386651445556,33.82248622744738
85.08386651445558,37.14446754964594
84.08386651445556,38.455363756525315
87.08386651445558,37.840615134016645
87.08386651445558,38.30784006482703
91.08386651445556,37.50799103750715
93.08386651445556,37.76081232535836
98.08386651445556,37.603354318431435
96.0838665144556,40.08306322223197
100.08386651445556,43.092719247326855
102.08386651445556,41.98858067292302
98.08386651445556,42.74792428049167
94.08386651445556,43.74818513970803
94.08386651445556,43.30727975640637
93.08386651445556,43.997734879503305
91.08386651445556,46.47616136234074
93.08386651445556,44.99611172809922
88.08386651445556,42.59875753747119
94.08386651445556,41.64002415355294
94.08386651445556,41.23505728357151
90.08386651445556,41.37143377766747
94.08386651445556,41.58437387589576
123.08386651445556,41.10104833586897
161.08386651445556,45.863118861037705
184.0838665144556,56.09939975413693
92.0838665144556,70.89077845545509
92.0838665144556,42.08076943638127
94.08386651445556,39.26697612569334
88.08386651445556,40.643458542635045
94.08386651445556,42.02724736299576
88.08386651445556,41.516533321794896
86.08386651445558,39.186824006911436
83.08386651445556,38.049398280056224
87.08386651445558,36.600256931637176
85.08386651445558,37.890174316393235
91.08386651445556,38.730295081460355
90.08386651445556,40.16587559635347
93.08386651445556,41.879552250588674
93.08386651445556,42.38723893738484
